2306	adaptive_pressure_advance_overhangs	coBools
2313	adaptive_pressure_advance_bridges	coFloats
2322	line_width	coFloatOrPercent
2334	reduce_fan_stop_start_freq	coBools
2340	dont_slow_down_outer_wall	coBools
2349	fan_cooling_layer_time	coFloats
2359	default_filament_colour	coStrings
2367	filament_colour	coStrings
2375	filament_notes	coStrings
2385	filament_multi_colour	coStrings
2389	filament_colour_type	coStrings
2401	filament_map	coInts
2407	physical_extruder_map	coInts
2414	filament_map_mode	coEnum
2430	enable_filament_dynamic_map	coBool
2436	has_filament_switcher	coBool
2442	filament_flush_temp	coInts
2452	filament_flush_volumetric_speed	coFloats
2462	filament_max_volumetric_speed	coFloats
2472	machine_load_filament_time	coFloat
2481	machine_unload_filament_time	coFloat
2490	machine_tool_change_time	coFloat
2500	support_object_skip_flush	coBool
2503	bed_temperature_formula	coEnum
2514	nozzle_flush_dataset	coInts
2518	filament_diameter	coFloats
2551	pellet_flow_coefficient	coFloats
2557	filament_adaptive_volumetric_speed	coBools
2567	volumetric_speed_coefficients	coStrings
2571	filament_shrink	coPercents
2584	filament_shrinkage_compensation_z	coPercents
2596	filament_adhesiveness_category	coInts
2603	filament_loading_speed	coFloats
2611	filament_loading_speed_start	coFloats
2619	filament_unloading_speed	coFloats
2628	filament_unloading_speed_start	coFloats
2636	filament_toolchange_delay	coFloats
2646	filament_cooling_moves	coInts
2655	filament_stamping_loading_speed	coFloats
2662	filament_stamping_distance	coFloats
2670	filament_cooling_initial_speed	coFloats
2678	filament_minimal_purge_on_wipe_tower	coFloats
2689	filament_cooling_before_tower	coFloats
2697	filament_tower_interface_pre_extrusion_dist	coFloats
2705	filament_tower_interface_pre_extrusion_length	coFloats
2713	filament_tower_ironing_area	coFloats
2721	filament_tower_interface_purge_volume	coFloats
2729	filament_tower_interface_print_temp	coInts
2737	filament_cooling_final_speed	coFloats
2745	filament_ramming_parameters	coStrings
2752	filament_multitool_ramming	coBools
2760	filament_multitool_ramming_volume	coFloats
2768	filament_multitool_ramming_flow	coFloats
2776	filament_density	coFloats
2784	filament_type	coStrings
2798	filament_soluble	coBools
2804	filament_change_length	coFloats
2812	filament_is_support	coBools
2822	filament_printable	coInts
2829	temperature_vitrification	coInts
2837	filament_cost	coFloats
2845	filament_settings_id	coStrings
2850	filament_ids	coStrings
2854	filament_vendor	coStrings
2861	infill_direction	coFloat
2871	solid_infill_direction	coFloat
2881	sparse_infill_density	coPercent
2891	align_infill_direction_to_model	coBool
2898	extra_solid_infills	coString
2907	fill_multiline	coInt
2919	gyroid_optimized	coBool
2928	sparse_infill_pattern	coEnum
2987	lateral_lattice_angle_1	coFloat
2997	lateral_lattice_angle_2	coFloat
3007	infill_overhang_angle	coFloat
3017	infill_anchor	coFloatOrPercent
3045	infill_anchor_max	coFloatOrPercent
3068	inner_wall_acceleration	coFloat
3077	travel_acceleration	coFloat
3086	top_surface_acceleration	coFloat
3095	outer_wall_acceleration	coFloat
3104	bridge_acceleration	coFloatOrPercent
3114	sparse_infill_acceleration	coFloatOrPercent
3124	internal_solid_infill_acceleration	coFloatOrPercent
3134	initial_layer_acceleration	coFloat
3143	initial_layer_travel_acceleration	coFloatOrPercent
3152	accel_to_decel_enable	coBool
3159	accel_to_decel_factor	coPercent
3169	default_jerk	coFloat
3178	default_junction_deviation	coFloat
3188	outer_wall_jerk	coFloat
3197	inner_wall_jerk	coFloat
3206	top_surface_jerk	coFloat
3215	infill_jerk	coFloat
3224	initial_layer_jerk	coFloat
3233	travel_jerk	coFloat
3242	initial_layer_travel_jerk	coFloatOrPercent
3251	initial_layer_line_width	coFloatOrPercent
3264	initial_layer_print_height	coFloat
3272	adaptive_layer_height	coBool
3280	initial_layer_speed	coFloat
3288	initial_layer_infill_speed	coFloat
3296	initial_layer_travel_speed	coFloatOrPercent
3306	slow_down_layers	coInt
3316	nozzle_temperature_initial_layer	coInts
3325	full_fan_speed_layer	coInts
3337	support_material_interface_fan_speed	coInts
3350	internal_bridge_fan_speed	coInts
3361	ironing_fan_speed	coInts
3373	filament_ironing_flow	coPercents
3385	filament_ironing_spacing	coFloats
3397	filament_ironing_inset	coFloats
3409	filament_ironing_speed	coFloats
3420	fuzzy_skin	coEnum
3441	fuzzy_skin_thickness	coFloat
3451	fuzzy_skin_point_distance	coFloat
3461	fuzzy_skin_first_layer	coBool
3468	fuzzy_skin_mode	coEnum
3491	fuzzy_skin_noise_type	coEnum
3517	fuzzy_skin_scale	coFloat
3527	fuzzy_skin_octaves	coInt
3536	fuzzy_skin_persistence	coFloat
3545	fuzzy_skin_ripples_per_layer	coInt
3553	fuzzy_skin_ripple_offset	coPercent
3567	fuzzy_skin_layers_between_ripple_offset	coInt
3578	filter_out_gap_fill	coFloat
3587	gap_infill_speed	coFloat
3597	precise_z_height	coBool
3607	enable_arc_fitting	coBool
3618	gcode_add_line_number	coBool
3625	scan_first_layer	coBool
3632	enable_power_loss_recovery	coEnum
3646	spaghetti_detector	coBool
3652	nozzle_type	coEnums
3672	nozzle_hrc	coInt
3681	printer_structure	coEnum
3698	best_object_pos	coPoint
3704	auxiliary_fan	coBool
3710	fan_speedup_time	coFloat
3723	fan_speedup_overhangs	coBool
3729	fan_kickstart	coFloat
3741	part_cooling_fan_min_pwm	coInt
3763	time_cost	coFloat
3772	support_chamber_temp_control	coBool
3779	support_air_filtration	coBool
3785	gcode_flavor	coEnum
3819	pellet_modded_printer	coBool
3825	support_multi_bed_types	coBool
3831	gcode_label_objects	coBool
3839	exclude_object	coBool
3845	gcode_comments	coBool
3854	infill_combination	coBool
3862	infill_shift_step	coFloat
3873	sparse_infill_rotate_template	coString
3887	solid_infill_rotate_template	coString
3898	skeleton_infill_density	coPercent
3911	skin_infill_density	coPercent
3924	skin_infill_depth	coFloat
3934	infill_lock_depth	coFloat
3944	skin_infill_line_width	coFloatOrPercent
3954	skeleton_infill_line_width	coFloatOrPercent
3964	symmetric_infill_y_axis	coBool
3973	infill_combination_max_layer_height	coFloatOrPercent
3987	enable_wrapping_detection	coBool
3993	wrapping_detection_layers	coInt
4000	wrapping_exclude_area	coPoints
4007	sparse_infill_filament	coInt
4016	sparse_infill_line_width	coFloatOrPercent
4028	infill_wall_overlap	coPercent
4041	top_bottom_infill_wall_overlap	coPercent
4054	sparse_infill_speed	coFloat
4063	inherits	coString
4073	inherits_group	coStrings
4077	interface_shells	coBool
4086	mmu_segmented_region_max_width	coFloat
4095	mmu_segmented_region_interlocking_depth	coFloat
4106	interlocking_beam	coBool
4113	interlocking_beam_width	coFloat
4122	interlocking_orientation	coFloat
4132	interlocking_beam_layer_count	coInt
