12973	option	ConfigOptionFloats	"filament_flow_ratio"	FilamentPreset	R
12975	option	ConfigOptionFloats	"filament_max_volumetric_speed"	FilamentPreset	R
12982	opt_float	double	"internal_solid_infill_speed"	PrintPreset	R
12983	opt_float	double	"top_surface_speed"	PrintPreset	R
13116	option	ConfigOptionFloats	"nozzle_diameter"	PrinterPreset	R
13196	option	ConfigOptionPoints	"printable_area"	PrinterPreset	R
13202	option	ConfigOptionFloats	"nozzle_diameter"	PrinterPreset	R
13208	option	ConfigOptionFloats	"max_layer_height"	PrinterPreset	W
13248	option	ConfigOptionFloatsNullable	"filament_flow_ratio"	FilamentPreset	R
13273	option	ConfigOptionFloats	"nozzle_diameter"	PrinterPreset	R
13283	option	ConfigOptionFloats	"max_layer_height"	PrinterPreset	W
13373	option	ConfigOptionEnum<GCodeFlavor>	"gcode_flavor"	PrinterPreset	R
13376	option	ConfigOptionFloats	"machine_max_junction_deviation"	PrinterPreset	R
13380	option	ConfigOptionFloats	"machine_max_jerk_x"	PrinterPreset	R
13381	option	ConfigOptionFloats	"machine_max_jerk_y"	PrinterPreset	R
13385	option	ConfigOptionBools	"enable_pressure_advance"	FilamentPreset	R
13436	option	ConfigOptionEnum<GCodeFlavor>	"gcode_flavor"	PrinterPreset	R
13439	option	ConfigOptionFloats	"machine_max_junction_deviation"	PrinterPreset	R
13443	option	ConfigOptionFloats	"machine_max_jerk_x"	PrinterPreset	R
13444	option	ConfigOptionFloats	"machine_max_jerk_y"	PrinterPreset	R
13448	option	ConfigOptionBools	"enable_pressure_advance"	FilamentPreset	R
13511	option	ConfigOptionBools	"enable_pressure_advance"	FilamentPreset	R
14909	opt_string	std::string	"inherits"	PrinterPreset	R
15808	option	ConfigOptionStrings	"extruder_ams_count"	Adhoc	CG
15945	opt_string	std::string	"inherits"	PrinterPreset	R
15950	opt_enum	BedType	"curr_bed_type"	Project	R
15963	opt_string	std::string	"inherits"	FilamentPreset	R
15972	opt_string	std::string	"inherits"	PrintPreset	R
15974	opt_enum	SupportType	"support_type"	PrintPreset	R
15975	opt_enum	InfillPattern	"sparse_infill_pattern"	PrintPreset	R
15978	opt_enum	BrimType	"brim_type"	PrintPreset	R
15985	option	ConfigOptionStrings	"different_settings_to_system"	Full	R
16131	option	ConfigOptionEnum<PrintHostType>	"host_type"	PrinterPreset	R
16393	option	ConfigOptionStrings	"filament_type"	FilamentPreset	R
16445	opt_int	int	key	Adhoc	R
16448	opt_int	int	key	Adhoc	R
16501	option	ConfigOptionStrings	"filament_colour"	Project	R
16502	option	ConfigOptionStrings	"filament_type"	Full	R
16504	option	ConfigOptionStrings	"filament_colour"	Adhoc	W
16505	option	ConfigOptionStrings	"filament_type"	Adhoc	W
16513	option	ConfigOptionEnum<PrintSequence>	"print_sequence"	Adhoc	R
16535	option	ConfigOptionFloats	"nozzle_diameter"	Adhoc	R
16536	option	ConfigOptionFloats	"nozzle_diameter"	Adhoc	R
16562	opt_enum	PrinterTechnology	opt_key	Adhoc	R
16642	option	ConfigOptionStrings	"filament_colour"	Project	R
16643	option	ConfigOptionFloats	"flush_volumes_matrix"	Project	R
16648	option	ConfigOptionFloats	"flush_volumes_matrix"	Project	R
16650	option	ConfigOptionFloats	"flush_volumes_matrix"	Project	W
16657	option	ConfigOptionFloats	"flush_volumes_matrix"	Project	W
16659	option	ConfigOptionFloats	"flush_multiplier"	Project	R
16661	option	ConfigOptionFloats	"flush_multiplier"	Project	W
16666	option	ConfigOptionFloats	"flush_volumes_matrix"	Project	R
16671	option	ConfigOptionFloats	"flush_multiplier"	Project	R
16673	option	ConfigOptionFloats	"flush_volumes_matrix"	Project	W
16674	option	ConfigOptionFloats	"flush_multiplier"	Project	W
16693	option	ConfigOptionPoints	"printable_area"	Adhoc	R
16695	option	ConfigOptionPoints	"bed_exclude_area"	Adhoc	R
16696	option	ConfigOptionPoints	"wrapping_exclude_area"	Adhoc	R
16697	option	ConfigOptionFloat	"printable_height"	Adhoc	R
16698	option	ConfigOptionPointsGroups	"extruder_printable_area"	Adhoc	R
16699	option	ConfigOptionFloatsNullable	"extruder_printable_height"	Adhoc	R
16700	option	ConfigOptionString	"bed_custom_texture"	Adhoc	R
16701	option	ConfigOptionString	"bed_custom_model"	Adhoc	R
16718	option	ConfigOptionStrings	"filament_colour"	Adhoc	R
16725	opt_string	std::string	"filament_colour"	FilamentPreset	R
16727	option	ConfigOptionStrings	"filament_colour"	Adhoc	R
16728	option	ConfigOptionStrings	"filament_colour"	Adhoc	W
16747	opt_string	std::string	"printer_model"	Adhoc	CG
16766	option	ConfigOptionStrings	"filament_colour"	Project	R
16777	option	ConfigOptionStrings	"filament_multi_colour"	Project	R
16787	option	ConfigOptionStrings	"filament_colour_type"	Project	R
16819	option	ConfigOptionEnum<FilamentMapMode>	"filament_map_mode"	Project	W
16829	option	ConfigOptionInts	"filament_map"	Project	W
16835	option	ConfigOptionInts	"filament_map"	Project	R
16842	option	ConfigOptionEnum<FilamentMapMode>	"filament_map_mode"	Project	R
17132	option	ConfigOptionString	"printer_model"	PrinterPreset	R
17739	option	ConfigOptionStrings	"filament_colour"	Adhoc	R
17740	option	ConfigOptionStrings	"filament_type"	Adhoc	R
